Country Name,Country Code,Population_1961,Population_1962,Population_1963,Population_1964,Population_1965,Population_1966,Population_1967,Population_1968,Population_1969,Population_1970,Population_1971,Population_1972,Population_1973,Population_1974,Population_1975,Population_1976,Population_1977,Population_1978,Population_1979,Population_1980,Population_1981,Population_1982,Population_1983,Population_1984,Population_1985,Population_1986,Population_1987,Population_1988,Population_1989,Population_1990,Population_1991,Population_1992,Population_1993,Population_1994,Population_1995,Population_1996,Population_1997,Population_1998,Population_1999,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019
Poland,POL,29978949,30321655.0,30722667.0,31147317.0,31451405.0,31686622.0,31991361.0,32297433.0,32550109.0,32665909.0,32784898.0,33055936.0,33356121.0,33676268.0,34010874.0,34350233.0,34681323.0,34956715.0,35237133.0,35562466.0,35885326.0,36215573.0,36555162.0,36885837.0,37182246.0,37435481.0,37646693.0,37802723.0,37939439.0,38088313.0,38223404.0,38340628.0,38438186.0,38519295.0,38571574.0,38600917.0,38626183.0,38639993.0,38636785.0,38233287.0,38222740.0,38205036.0,38179250.0,38156910.0,38140140.0,38115970.0,38095271.0,38100466.0,38126284.0,38017392.0,38037834.0,38037743.0,38014783.0,37986330.0,37961015.0,37944697.0,37949433.0,37949357.0,37945483.0
Puerto Rico,PRI,2402514,2452646.0,2506314.0,2555401.0,2595047.0,2625871.0,2646476.0,2662820.0,2684821.0,2718468.0,2762310.0,2816837.0,2877696.0,2937559.0,2991725.0,3041131.0,3085600.0,3126024.0,3164412.0,3202055.0,3238355.0,3273025.0,3306493.0,3339335.0,3371938.0,3404288.0,3436382.0,3468231.0,3499787.0,3530945.0,3555923.0,3578875.0,3609015.0,3642538.0,3676186.0,3717428.0,3751975.0,3773541.0,3792436.0,3802924.0,3811068.0,3815982.0,3818370.0,3819151.0,3813642.0,3797492.0,3775253.0,3753104.0,3732634.0,3713741.0,3670790.0,3626374.0,3584818.0,3526273.0,3464239.0,3397207.0,3315062.0,3180855.0,3181194.0
Portugal,PRT,9031200,9096371.0,9133081.0,9138147.0,9100883.0,9032251.0,8974959.0,8936578.0,8856381.0,8777890.0,8740725.0,8727239.0,8729939.0,8851711.0,9188113.0,9449432.0,9549762.0,9652800.0,9756277.0,9861785.0,9947295.0,10008106.0,10054540.0,10093205.0,10120814.0,10130019.0,10127289.0,10116761.0,10101999.0,10079982.0,10056749.0,10048930.0,10061222.0,10088296.0,10123222.0,10161285.0,10206651.0,10258234.0,10316258.0,10388767.0,10462032.0,10519329.0,10558820.0,10584069.0,10603706.0,10622828.0,10643681.0,10659028.0,10669189.0,10674087.0,10658387.0,10615176.0,10556918.0,10499996.0,10456511.0,10423525.0,10398103.0,10381455.0,10366903.0
Paraguay,PRY,1959034,2010591.0,2063658.0,2118247.0,2174309.0,2232025.0,2291322.0,2351661.0,2412336.0,2472909.0,2533231.0,2593720.0,2655171.0,2718693.0,2785176.0,2854772.0,2927500.0,3003849.0,3084367.0,3169364.0,3259019.0,3353102.0,3450958.0,3551690.0,3654549.0,3759269.0,3865724.0,3973422.0,4081852.0,4190595.0,4299242.0,4407639.0,4515875.0,4624177.0,4732649.0,4841159.0,4949358.0,5056851.0,5163153.0,5267847.0,5370979.0,5472437.0,5571469.0,5667143.0,5758908.0,5846356.0,5930009.0,6011372.0,6092547.0,6175060.0,6259433.0,6345347.0,6432457.0,6520041.0,6607596.0,6695059.0,6782585.0,6869934.0,6956850.0
French Polynesia,PYF,82600,85564.0,88768.0,92071.0,95381.0,98670.0,101960.0,105317.0,108803.0,112483.0,116372.0,120429.0,124629.0,128905.0,133209.0,137519.0,141855.0,146234.0,150690.0,155240.0,159881.0,164600.0,169353.0,174137.0,178902.0,183678.0,188432.0,193102.0,197553.0,201727.0,205546.0,209066.0,212465.0,216021.0,219893.0,224138.0,228673.0,233366.0,238007.0,242464.0,246703.0,250740.0,254470.0,257761.0,260553.0,262789.0,264506.0,265852.0,267050.0,268256.0,269504.0,270810.0,272146.0,273529.0,274954.0,276411.0,277945.0,279527.0,281141.0
Qatar,QAT,48592,52964.0,57864.0,63104.0,68530.0,74081.0,79841.0,85990.0,92791.0,100408.0,109098.0,118783.0,128970.0,138946.0,148301.0,156552.0,164114.0,172564.0,184057.0,199915.0,220582.0,245166.0,272011.0,298763.0,323628.0,346247.0,366869.0,385058.0,400445.0,412902.0,422393.0,429306.0,434546.0,439339.0,444851.0,452657.0,463603.0,477459.0,493568.0,512226.0,531355.0,553237.0,587480.0,646105.0,735721.0,858588.0,1008935.0,1175165.0,1341388.0,1495418.0,1633481.0,1757213.0,1866186.0,1961641.0,2044815.0,2114285.0,2169591.0,2214473.0,2254229.0
Romania,ROU,18566932,18687913.0,18808894.0,18929851.0,19042032.0,19225124.0,19541460.0,19805357.0,20013627.0,20253495.0,20463603.0,20659076.0,20836049.0,21028905.0,21291407.0,21547881.0,21751344.0,21945798.0,22084348.0,22200802.0,22346071.0,22468368.0,22552918.0,22632818.0,22725050.0,22828619.0,22940891.0,23048828.0,23152351.0,23192677.0,22991204.0,22783487.0,22752477.0,22719400.0,22673434.0,22608105.0,22543017.0,22496357.0,22461043.0,22431969.0,22118947.0,21714025.0,21557410.0,21434579.0,21302214.0,21176019.0,20863202.0,20515541.0,20344628.0,20223789.0,20124315.0,20034726.0,19960332.0,19885565.0,19792092.0,19678553.0,19563378.0,19448436.0,19332232.0
Rwanda,RWA,3045908,3100886.0,3153740.0,3212940.0,3284501.0,3370809.0,3470018.0,3578807.0,3691966.0,3805839.0,3919672.0,4035181.0,4154030.0,4278761.0,4411299.0,4551945.0,4700294.0,4856672.0,5021305.0,5194275.0,5368653.0,5542690.0,5727009.0,5936341.0,6176836.0,6468163.0,6797158.0,7099330.0,7285946.0,7297848.0,7089709.0,6697030.0,6243894.0,5908593.0,5808448.0,5981604.0,6373166.0,6890535.0,7403780.0,7818759.0,8106562.0,8297240.0,8424358.0,8544939.0,8700707.0,8898361.0,9122247.0,9365651.0,9616198.0,9865147.0,10111628.0,10360365.0,10614391.0,10878215.0,11154814.0,11445102.0,11747214.0,12057811.0,12372237.0
Saudi Arabia,SAU,4827708,4989666.0,5162477.0,5343039.0,5529751.0,5722403.0,5923935.0,6139683.0,6376718.0,6640477.0,6934511.0,7259099.0,7612519.0,7991506.0,8394601.0,8817589.0,9263526.0,9746361.0,10284741.0,10889619.0,11565208.0,12300697.0,13073228.0,13851463.0,14611172.0,15344429.0,16052561.0,16731852.0,17381052.0,17999519.0,18587341.0,19144093.0,19669195.0,20162536.0,20626847.0,21059474.0,21468500.0,21880635.0,22330791.0,22843815.0,23431823.0,24088567.0,24797568.0,25533056.0,26276550.0,27018569.0,27765050.0,28530473.0,29336440.0,30195299.0,31113035.0,32074850.0,33047155.0,33984357.0,34853264.0,35640866.0,36354966.0,37008947.0,37628148.0
Sudan,SDN,8674716,8932815.0,9201806.0,9482155.0,9774319.0,10079019.0,10396850.0,10727981.0,11072469.0,11430663.0,11802297.0,12188325.0,12591721.0,13016306.0,13464647.0,13937731.0,14434300.0,14951799.0,15486483.0,16035351.0,16599820.0,17180399.0,17772305.0,18369377.0,18968464.0,19562290.0,20154661.0,20766462.0,21426256.0,22151932.0,22955048.0,23822740.0,24718772.0,25592610.0,26408785.0,27151907.0,27835155.0,28486397.0,29147691.0,29849083.0,30601283.0,31393624.0,32209464.0,33023099.0,33817159.0,34586644.0,35341693.0,36098257.0,36879121.0,37700867.0,38568974.0,39479124.0,40426206.0,41401333.0,42397951.0,43414996.0,44454881.0,45518360.0,46606902.0
